,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,RBS,FW,WP$,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
0,0,Reagan - Speech1 - Edited.txt,29/01/1981,1981-01-29,2444633.5,0.2882032667876588,2755.0,794.0,23.852713178294568,10.0,9.0,131.0,0.0,2.0,192.0,129.0,5.0,106.0,24.0,293.0,14.0,348.0,136.0,4.0,2.0,66.0,304.0,104.0,6.0,100.0,4.0,2.0,246.0,28.0,185.0,3.0,15.0,110.0,7.0,184.0,57.0,54.0,71.0,153.0,62.0,25.0,21.0,9.0,2.0,3.0,0.0,1.0,514.0,5.14,0.18656987295825772,142.0,1.42,0.051542649727767696,191.0,1.91,0.06932849364791288,581.0,5.81,0.21088929219600727
1,1,Reagan - Speech2 - Edited.txt,06/03/1981,1981-03-06,2444669.5,0.2620533182076007,3526.0,924.0,24.2875,10.0,8.0,121.0,2.0,5.0,197.0,160.0,4.0,132.0,34.0,383.0,21.0,458.0,173.0,6.0,7.0,81.0,418.0,81.0,5.0,140.0,5.0,3.0,327.0,38.0,223.0,5.0,11.0,114.0,6.0,189.0,87.0,102.0,87.0,192.0,96.0,38.0,31.0,19.0,5.0,1.0,0.0,0.0,644.0,6.44,0.18264322178105502,186.0,1.86,0.052750992626205334,229.0,2.29,0.06494611457742484,753.0,7.53,0.2135564378899603
2,2,Reagan - Speech3 - Edited.txt,16/06/1981,1981-06-16,2444771.5,0.2768086931655705,3497.0,968.0,23.62576687116564,16.0,6.0,117.0,1.0,2.0,189.0,164.0,0.0,134.0,48.0,381.0,11.0,442.0,194.0,7.0,9.0,67.0,399.0,117.0,4.0,146.0,4.0,2.0,306.0,40.0,220.0,3.0,14.0,121.0,1.0,175.0,84.0,82.0,96.0,184.0,113.0,42.0,27.0,19.0,2.0,1.0,0.0,0.0,666.0,6.66,0.19044895624821276,210.0,2.1,0.0600514726908779,224.0,2.24,0.06405490420360309,734.0,7.34,0.20989419502430653
3,3,Reagan - Speech5 - Edited.txt,10/11/1981,1981-11-10,2444918.5,0.2672556598564329,3622.0,968.0,24.570552147239265,13.0,10.0,140.0,3.0,4.0,218.0,163.0,6.0,144.0,32.0,397.0,20.0,496.0,194.0,16.0,6.0,74.0,452.0,84.0,6.0,133.0,4.0,2.0,306.0,58.0,205.0,2.0,14.0,118.0,4.0,196.0,59.0,78.0,106.0,191.0,125.0,43.0,19.0,22.0,4.0,1.0,0.0,0.0,675.0,6.75,0.18636112644947542,216.0,2.16,0.05963556046383214,208.0,2.08,0.05742683600220872,755.0,7.55,0.20844837106570954
4,4,Reagan - Speech6 - Edited.txt,17/12/1981,1981-12-17,2444955.5,0.2540311921755221,3783.0,961.0,25.005988023952092,9.0,13.0,134.0,2.0,3.0,221.0,168.0,9.0,173.0,41.0,432.0,16.0,497.0,182.0,8.0,2.0,94.0,474.0,89.0,3.0,146.0,3.0,4.0,334.0,54.0,240.0,1.0,21.0,102.0,7.0,192.0,120.0,86.0,100.0,173.0,89.0,34.0,34.0,17.0,3.0,1.0,0.0,1.0,712.0,7.12,0.18821041501453872,192.0,1.92,0.05075337034099921,242.0,2.42,0.06397039386730108,760.0,7.6,0.20089875759978854
5,5,Reagan - Speech7 - Edited.txt,19/01/1982,1982-01-19,2444988.5,0.2521808088818398,3783.0,954.0,22.868131868131872,23.0,13.0,147.0,4.0,2.0,196.0,182.0,7.0,134.0,30.0,399.0,21.0,500.0,194.0,13.0,5.0,82.0,430.0,82.0,0.0,138.0,2.0,3.0,366.0,35.0,244.0,5.0,13.0,114.0,5.0,189.0,122.0,106.0,123.0,211.0,114.0,40.0,32.0,16.0,2.0,1.0,0.0,0.0,650.0,6.5,0.1718213058419244,212.0,2.12,0.05604017975151996,250.0,2.5,0.06608511763150939,865.0,8.65,0.22865450700502246
6,6,Reagan - Speech8 - Edited.txt,18/02/1982,1982-02-18,2445018.5,0.2765300393037619,3562.0,985.0,23.78787878787879,14.0,14.0,119.0,2.0,4.0,197.0,165.0,4.0,135.0,32.0,378.0,28.0,483.0,172.0,11.0,4.0,76.0,438.0,143.0,4.0,151.0,4.0,9.0,276.0,49.0,226.0,4.0,19.0,115.0,14.0,199.0,120.0,93.0,63.0,152.0,73.0,33.0,30.0,15.0,4.0,0.0,0.0,0.0,736.0,7.36,0.20662549129702415,187.0,1.87,0.05249859629421673,230.0,2.3,0.06457046603032005,700.0,7.0,0.1965188096574958
7,7,Reagan - Speech9 - Edited.txt,31/03/1982,1982-03-31,2445059.5,0.2897995283018868,3392.0,983.0,24.175324675324674,8.0,12.0,113.0,9.0,2.0,177.0,154.0,4.0,118.0,83.0,352.0,29.0,448.0,186.0,14.0,6.0,72.0,412.0,91.0,2.0,147.0,5.0,8.0,280.0,37.0,192.0,5.0,29.0,91.0,11.0,157.0,76.0,105.0,82.0,181.0,77.0,39.0,24.0,14.0,2.0,1.0,0.0,1.0,652.0,6.52,0.19221698113207547,206.0,2.06,0.0607311320754717,198.0,1.98,0.05837264150943396,678.0,6.78,0.19988207547169812
8,8,Reagan - Speech10 - Edited.txt,13/05/1982,1982-05-13,2445102.5,0.24428429423459244,4024.0,983.0,23.71657754010695,17.0,17.0,150.0,2.0,3.0,223.0,187.0,5.0,143.0,46.0,475.0,42.0,510.0,218.0,7.0,3.0,79.0,505.0,94.0,2.0,150.0,6.0,4.0,320.0,49.0,255.0,5.0,25.0,131.0,10.0,203.0,117.0,82.0,113.0,196.0,133.0,49.0,24.0,12.0,3.0,4.0,0.0,0.0,751.0,7.51,0.18663021868787277,228.0,2.28,0.05666003976143141,264.0,2.64,0.06560636182902585,844.0,8.44,0.20974155069582506
9,9,Reagan - Speech11 - Edited.txt,30/06/1982,1982-06-30,2445150.5,0.2555269922879177,3890.0,994.0,23.41208791208791,10.0,13.0,115.0,2.0,4.0,187.0,182.0,7.0,170.0,37.0,451.0,42.0,514.0,202.0,8.0,2.0,71.0,448.0,115.0,5.0,171.0,6.0,3.0,313.0,62.0,235.0,5.0,5.0,124.0,7.0,194.0,137.0,56.0,131.0,174.0,98.0,41.0,25.0,22.0,3.0,2.0,0.0,0.0,739.0,7.39,0.18997429305912597,212.0,2.12,0.0544987146529563,242.0,2.42,0.062210796915167094,790.0,7.9,0.20308483290488433
10,10,Reagan - Speech12 - Edited.txt,28/07/1982,1982-07-28,2445178.5,0.2636125654450262,3820.0,1007.0,22.684491978609625,10.0,10.0,138.0,1.0,1.0,234.0,187.0,2.0,166.0,38.0,390.0,26.0,474.0,203.0,9.0,0.0,87.0,415.0,155.0,4.0,136.0,2.0,5.0,350.0,41.0,228.0,8.0,22.0,130.0,8.0,211.0,110.0,96.0,107.0,189.0,113.0,32.0,33.0,24.0,1.0,4.0,0.0,0.0,710.0,7.1,0.18586387434554974,212.0,2.12,0.05549738219895288,240.0,2.4,0.06282722513089005,826.0,8.26,0.2162303664921466
11,11,Reagan - Speech13 - Edited.txt,28/09/1982,1982-09-28,2445240.5,0.2602813852813853,3696.0,962.0,25.87974683544304,14.0,11.0,118.0,6.0,2.0,234.0,158.0,7.0,140.0,58.0,381.0,31.0,512.0,192.0,20.0,6.0,61.0,437.0,117.0,6.0,148.0,3.0,2.0,293.0,38.0,242.0,2.0,13.0,102.0,8.0,172.0,110.0,94.0,105.0,202.0,96.0,37.0,32.0,20.0,2.0,0.0,0.0,0.0,708.0,7.08,0.19155844155844157,218.0,2.18,0.058982683982683984,244.0,2.44,0.06601731601731602,779.0,7.79,0.21076839826839827
12,12,Reagan - Speech14 - Edited.txt,11/11/1982,1982-11-11,2445284.5,0.2562141491395793,3661.0,938.0,22.27624309392265,11.0,12.0,141.0,3.0,0.0,189.0,181.0,6.0,151.0,50.0,420.0,26.0,498.0,186.0,8.0,3.0,89.0,413.0,112.0,7.0,150.0,0.0,5.0,302.0,33.0,224.0,8.0,22.0,100.0,10.0,218.0,60.0,96.0,86.0,185.0,109.0,37.0,29.0,15.0,0.0,1.0,0.0,0.0,682.0,6.82,0.18628789948101612,197.0,1.97,0.05381043430756624,233.0,2.33,0.0636438131658017,754.0,7.54,0.205954657197487
13,13,Reagan - Speech15 - Edited.txt,05/01/1983,1983-01-05,2445339.5,0.2647887323943662,3550.0,940.0,23.65060240963855,5.0,13.0,143.0,2.0,5.0,207.0,166.0,4.0,134.0,40.0,383.0,23.0,459.0,168.0,12.0,11.0,79.0,422.0,76.0,2.0,144.0,5.0,1.0,308.0,39.0,232.0,5.0,20.0,118.0,6.0,208.0,73.0,89.0,96.0,208.0,104.0,38.0,15.0,17.0,5.0,1.0,1.0,0.0,644.0,6.44,0.18140845070422534,191.0,1.91,0.05380281690140845,238.0,2.38,0.06704225352112676,778.0,7.78,0.2191549295774648
14,14,Reagan - Speech16 - Edited.txt,16/02/1983,1983-02-16,2445381.5,0.264,3500.0,924.0,24.1625,15.0,8.0,145.0,4.0,3.0,205.0,160.0,4.0,130.0,38.0,361.0,20.0,460.0,171.0,10.0,4.0,83.0,374.0,102.0,5.0,135.0,2.0,4.0,320.0,40.0,244.0,3.0,20.0,126.0,2.0,216.0,80.0,89.0,102.0,167.0,100.0,27.0,33.0,18.0,3.0,1.0,0.0,0.0,616.0,6.16,0.176,185.0,1.85,0.05285714285714286,248.0,2.48,0.07085714285714285,754.0,7.54,0.21542857142857144
15,15,Reagan - Speech17 - Edited.txt,17/05/1983,1983-05-17,2445471.5,0.2672612197928654,3476.0,929.0,22.13714285714286,20.0,11.0,119.0,7.0,4.0,219.0,175.0,6.0,149.0,41.0,380.0,22.0,453.0,163.0,11.0,5.0,54.0,400.0,121.0,9.0,141.0,3.0,5.0,284.0,48.0,209.0,3.0,25.0,114.0,9.0,155.0,100.0,84.0,114.0,184.0,90.0,37.0,26.0,20.0,4.0,0.0,0.0,0.0,671.0,6.71,0.1930379746835443,179.0,1.79,0.05149597238204833,212.0,2.12,0.06098964326812428,727.0,7.27,0.20914844649021863
16,16,Reagan - Speech18 - Edited.txt,28/06/1983,1983-06-28,2445513.5,0.2565692353114851,3387.0,869.0,20.55191256830601,10.0,27.0,112.0,4.0,5.0,186.0,183.0,7.0,139.0,46.0,351.0,26.0,421.0,142.0,8.0,2.0,56.0,358.0,120.0,8.0,138.0,1.0,3.0,328.0,43.0,212.0,2.0,17.0,93.0,11.0,147.0,166.0,78.0,87.0,174.0,94.0,41.0,40.0,19.0,5.0,0.0,0.0,0.0,624.0,6.24,0.18423383525243578,152.0,1.52,0.0448774726896959,214.0,2.14,0.06318275760259817,746.0,7.46,0.2202539120165338
17,17,Reagan - Speech19 - Edited.txt,26/07/1983,1983-07-26,2445541.5,0.2640113798008535,3515.0,928.0,23.93827160493827,16.0,15.0,138.0,0.0,2.0,200.0,162.0,4.0,149.0,25.0,367.0,35.0,451.0,165.0,6.0,2.0,59.0,376.0,129.0,3.0,143.0,1.0,3.0,301.0,54.0,238.0,3.0,25.0,112.0,4.0,190.0,78.0,84.0,103.0,194.0,107.0,38.0,38.0,23.0,2.0,2.0,0.0,0.0,651.0,6.51,0.1852062588904694,173.0,1.73,0.0492176386913229,243.0,2.43,0.06913229018492176,756.0,7.56,0.2150782361308677
18,18,Reagan - Speech20 - Edited.txt,19/10/1983,1983-10-19,2445626.5,0.2777449822904368,3388.0,941.0,23.204968944099374,12.0,9.0,114.0,1.0,0.0,186.0,161.0,5.0,150.0,20.0,369.0,22.0,448.0,162.0,5.0,4.0,73.0,407.0,83.0,4.0,130.0,2.0,3.0,290.0,53.0,218.0,6.0,27.0,92.0,4.0,180.0,81.0,98.0,103.0,186.0,86.0,36.0,22.0,19.0,0.0,0.0,0.0,0.0,624.0,6.24,0.18417945690672963,171.0,1.71,0.050472255017709564,224.0,2.24,0.06611570247933884,734.0,7.34,0.2166469893742621
19,19,Reagan - Speech21 - Edited.txt,20/12/1983,1983-12-20,2445688.5,0.2459698387935517,3846.0,946.0,22.19270833333333,12.0,17.0,136.0,0.0,3.0,221.0,192.0,9.0,170.0,13.0,418.0,43.0,490.0,206.0,11.0,2.0,76.0,424.0,111.0,7.0,148.0,5.0,5.0,342.0,52.0,253.0,4.0,17.0,118.0,10.0,208.0,120.0,99.0,123.0,176.0,94.0,39.0,24.0,25.0,3.0,0.0,0.0,0.0,690.0,6.9,0.1794071762870515,219.0,2.19,0.05694227769110764,257.0,2.57,0.06682267290691628,820.0,8.2,0.21320852834113366
20,20,Reagan - Speech22 - Edited.txt,22/02/1984,1984-02-22,2445752.5,0.24258373205741626,4180.0,1014.0,23.79896907216495,14.0,6.0,148.0,5.0,1.0,242.0,194.0,9.0,184.0,45.0,458.0,24.0,561.0,195.0,14.0,6.0,70.0,462.0,122.0,5.0,182.0,3.0,3.0,354.0,55.0,271.0,9.0,26.0,125.0,7.0,203.0,156.0,115.0,119.0,211.0,83.0,40.0,35.0,19.0,1.0,3.0,0.0,0.0,771.0,7.71,0.18444976076555025,215.0,2.15,0.05143540669856459,283.0,2.83,0.06770334928229665,887.0,8.87,0.21220095693779906
21,21,Reagan - Speech23 - Edited.txt,04/04/1984,1984-04-04,2445794.5,0.2611324903793293,3638.0,950.0,24.66257668711657,15.0,16.0,110.0,9.0,5.0,219.0,163.0,6.0,152.0,47.0,410.0,22.0,474.0,195.0,4.0,4.0,62.0,422.0,105.0,3.0,139.0,7.0,2.0,302.0,42.0,223.0,5.0,12.0,124.0,5.0,184.0,141.0,100.0,91.0,161.0,94.0,27.0,28.0,22.0,5.0,3.0,0.0,1.0,669.0,6.69,0.1838922484881803,203.0,2.03,0.05579989004947773,231.0,2.31,0.06349642660802639,771.0,7.71,0.2119296316657504
